date time , active window title , highlighted text , url
Tue Jan 03 02:21:10 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - ",path not found
Tue Jan 03 02:21:34 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.     ",path not found
Tue Jan 03 02:24:19 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant ",path not found
Tue Jan 03 02:24:48 2017,"CV_Asad_Ahmadupdated - Word","o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels ",path not found
Tue Jan 03 02:25:15 2017,"CV_Asad_Ahmadupdated - Word","dicted First Class Honours.    o	Relevant ",path not found
Tue Jan 03 02:26:22 2017,"c++ - How to convert std::string to LPCSTR? - Stack Overflow - Google Chrome","code if UNICODE is defined, ANSI if not) string - TCHAR *LPCTSTR - (long) pointer to constant TCHAR stri","http://stackoverflow.com/questions/1200188/how-to-convert-stdstring-to-lpcstr"
Tue Jan 03 02:26:26 2017,"CV_Asad_Ahmadupdated - Word","http://stackoverflow.com/questions/1200188/how-to-convert-stdstring-to-lpcstr",path not found
Tue Jan 03 02:26:27 2017,"CV_Asad_Ahmadupdated - Word","Third year modules ",path not found
Tue Jan 03 02:28:55 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels ",path not found
Tue Jan 03 02:30:33 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant first ",path not found
Tue Jan 03 02:31:21 2017,"CV_Asad_Ahmadupdated - Word","GCE A levels - Karachi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi, Pakistano	4 ",path not found
Tue Jan 03 02:32:34 2017,"CV_Asad_Ahmadupdated - Word","Electronic and ",path not found
Tue Jan 03 02:33:14 2017,"CV_Asad_Ahmadupdated - Word","rks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control ",path not found
Tue Jan 03 02:33:48 2017,"CV_Asad_Ahmadupdated - Word","rks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control ",path not found
Tue Jan 03 02:34:14 2017,"CV_Asad_Ahmadupdated - Word","                                        GCE O levels - Karachi, ",path not found
Tue Jan 03 02:34:45 2017,"CV_Asad_Ahmadupdated - Word","w",path not found
Tue Jan 03 02:38:26 2017,"CV_Asad_Ahmadupdated - Word","Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing",path not found
Tue Jan 03 02:39:40 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - ",path not found
Tue Jan 03 02:41:05 2017,"CV_Asad_Ahmadupdated - Word","Processing, Computer Architecture, Language Processors, Computer Networks & ",path not found
Tue Jan 03 02:43:07 2017,"CV_Asad_Ahmadupdated - Word","in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.     ",path not found
Tue Jan 03 02:43:47 2017,"CV_Asad_Ahmadupdated - Word","Signal Processing, Computer Architecture, Language Processors, Computer Networks ",path not found
Tue Jan 03 02:44:40 2017,"CV_Asad_Ahmadupdated - Word","GCE A levels - Karachi, Pakistan							           o	2 A",path not found
Tue Jan 03 02:47:33 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks ",path not found
Tue Jan 03 02:48:52 2017,"CV_Asad_Ahmadupdated - Word","o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse ",path not found
Tue Jan 03 02:49:44 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted ",path not found
Tue Jan 03 02:53:05 2017,"CV_Asad_Ahmadupdated - Word","first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed ",path not found
Tue Jan 03 02:54:17 2017,"CV_Asad_Ahmadupdated - Word","modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School ",path not found
Tue Jan 03 02:55:06 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted First Class Honours.    o	Relevant first ",path not found
Tue Jan 03 02:56:19 2017,"CV_Asad_Ahmadupdated - Word","Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing",path not found
Tue Jan 03 02:57:29 2017,"CV_Asad_Ahmadupdated - Word","                cout << x << endl;",path not found
Tue Jan 03 02:58:08 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted ",path not found
Tue Jan 03 02:59:11 2017,"CV_Asad_Ahmadupdated - Word","rst ",path not found
Tue Jan 03 02:59:35 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karac hi, Pakistan							           o	2 A*'s in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics",path not found
Tue Jan 03 02:59:57 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks ",path not found
Tue Jan 03 03:00:50 2017,"CV_Asad_Ahmadupdated - Word","Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System ",path not found
Tue Jan 03 03:01:27 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed ",path not found
Tue Jan 03 03:03:00 2017,"CV_Asad_Ahmadupdated - Word","year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karac ",path not found
Tue Jan 03 03:03:39 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted ",path not found
Tue Jan 03 03:04:07 2017,"CV_Asad_Ahmadupdated - Word","Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering",path not found
Tue Jan 03 03:05:01 2017,"CV_Asad_Ahmadupdated - Word",", Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karac ",path not found
Tue Jan 03 03:05:45 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing",path not found
Tue Jan 03 03:06:18 2017,"CV_Asad_Ahmadupdated - Word","Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karac hi, Pakistan							           o	2 A*'s in Chemistry",path not found
Tue Jan 03 03:07:00 2017,"CV_Asad_Ahmadupdated - Word","in Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi, Pakistano	4 A*s in Chemistry",path not found
Tue Jan 03 03:07:53 2017,"CV_Asad_Ahmadupdated - Word","o	Predicted First Class Honours.    o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules ",path not found
Tue Jan 03 03:08:06 2017,"CV_Asad_Ahmadupdated - Word","Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels ",path not found
Tue Jan 03 03:08:36 2017,"CV_Asad_Ahmadupdated - Word","Chemistry, Physics. 3 A's in Mathematics, Further Mathematics, Economics.                                             GCE O levels - Karachi, Pakistano	4 A*s in Chemistry, Physics",path not found
Tue Jan 03 03:09:05 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks ",path not found
Tue Jan 03 03:13:07 2017,"CV_Asad_Ahmadupdated - Word","Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules ",path not found
Tue Jan 03 03:13:19 2017,"CV_Asad_Ahmadupdated - Word","year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse School System - Karachi, Pakistan               	                                                                                                                             GCE A levels - Karac ",path not found
Tue Jan 03 03:14:21 2017,"CV_Asad_Ahmadupdated - Word",".                                             GCE O levels - Karachi, Pakistano	4 A*s in Chemistry, Physics, Mathematics, Additional Mathematics. 3 A's in English Language, Pakistan ",path not found
Tue Jan 03 15:31:48 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules ",path not found
Tue Jan 03 15:32:57 2017,"CV_Asad_Ahmadupdated - Word","Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third year modules include Artificial Intelligence, Computer Vision, Control Engineering",path not found
Tue Jan 03 15:34:51 2017,"CV_Asad_Ahmadupdated - Word","vel",path not found
Tue Jan 03 15:37:46 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed ",path not found
Tue Jan 03 15:40:14 2017,"CV_Asad_Ahmadupdated - Word","year modules include Artificial Intelligence, Computer Vision, Control Engineering, Custom Computing, Machine Learning and Embedded Systems.B		 	    Beaconhouse ",path not found
Tue Jan 03 15:41:01 2017,"CV_Asad_Ahmadupdated - Word","programming languages C++, C, Python, Prolog, Verilog, ARM, MATLAB, MIPs, SQL. o	Experience with Asynchronous, Object Oriented and Declarative Programming Principles.o	Experience with utilities and tools including Make Files, Git, Mark Down Files.o	Also knows about Arduinos, Field Programmable Gate Arrays, Agent Based Modelling, Computer Vision Algorithms, Concurrency and Networking ",path not found
Tue Jan 03 15:48:47 2017,"assignment1(revised) - Word","consumption level for petrol remains constant, despite any fluctuations in price, since in general, consumers tend to use petrol driven vehicles as their primary mode of transport. Alternative mode of transportation exists",path not found
Tue Jan 03 15:49:21 2017,"assignment1(revised) - Word","such as Starbucks and Costa due to the quality of service that they provide.  It is also true that these coffee houses have more or less the same level of accessibility as compared to brands such as Mcdonalds. Feature ",path not found
Tue Jan 03 15:53:40 2017,"assignment1(revised) - Word","demand is being measured with.The demand for petrol within developed countries exhibits a significantly low price elasticity of demand, and a number of reasons account for this such as lack of substitutability, and local monopoly. The consumption level for petrol remains constant, despite any fluctuations in price, since in general, consumers ",path not found
Tue Jan 03 15:54:37 2017,"update12 (6) (Protected View) - Word","demand is being measured with.The demand for petrol within developed countries exhibits a significantly low price elasticity of demand, and a number of reasons account for this such as lack of substitutability, and local monopoly. The consumption level for petrol remains constant, despite any fluctuations in price, since in general, consumers ",path not found
Tue Jan 03 15:55:30 2017,"assignment1(revised) - Word","petrol within developed countries exhibits a significantly low price elasticity of demand, and a number of reasons account for this such as lack of substitutability, and local monopoly. The consumption level for petrol remains constant, despite any fluctuations in price, since in general, consumers tend to use petrol driven vehicles as their primary mode of transport. Alternative mode of transportation exists, however people are not likely to use them due to factors such as inconvenience and time. Other examples of price inelastic goods include tobacco industry and electricity.The demand for airline tickets ",path not found
Tue Jan 03 15:55:58 2017,"assignment1(revised) - Word","inconvenience and time. Other examples of price inelastic goods include tobacco industry and electricity.The demand for airline tickets is price elastic. This is due to various factors; considering that the destination may be accessible via other modes of transport people will opt for other options. For instance, if airfare from London ",path not found
Tue Jan 03 15:57:21 2017,"assignment1(revised) - Word","Coffee of brands such as Mcdonalds depicts negative income elasticity of demand and can be deemed as an inferior good. Although the income elasticity of demand for coffee is positive inelastic, with a rise in income consumers prefer ",path not found
Tue Jan 03 15:58:13 2017,"assignment1(revised) - Word","demand is being measured with.The demand for petrol within developed countries exhibits a significantly low price elasticity of demand, and a number of reasons account for this such as lack of substitutability, and local monopoly. The consumption level for petrol remains constant, despite any fluctuations in price, since in general, consumers tend to use petrol driven vehicles as their primary mode of transport. Alternative mode of transportation exists, however people are not likely to use them due to factors such as inconvenience and time. Other examples of price inelastic goods include tobacco industry and electricity.",path not found
Tue Jan 03 15:59:57 2017,"assignment1(revised) - Word","inconvenience and time. Other examples of price inelastic goods include tobacco industry and electricity.The demand for airline tickets ",path not found
Tue Jan 03 16:00:40 2017,"assignment1(revised) - Word","demand is being measured with.The demand for petrol within developed countries exhibits a significantly low price elasticity of demand, and a number of reasons ",path not found
Tue Jan 03 16:04:27 2017,"assignment1(revised) - Word","reasons account for this such as lack of substitutability, and local monopoly. The consumption level for ",path not found
Tue Jan 03 16:05:25 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","I am a final year student at Imperial College London, enrolled on the BEng Electronic & Information Engineering stream. I wish to apply for the position of a Graduate Software Engineer - Computer Vision at ARM, United Kingdom. My interest to study complex technological ",path not found
Tue Jan 03 16:06:21 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","I am a final year student at Imperial College London, enrolled on the BEng Electronic & Information Engineering stream. I wish to apply for the position of a Graduate Software Engineer - Computer Vision at ARM, United Kingdom. My interest to study complex technological architectures has influenced me to apply for the role. In particular I have always been interested with how new techniques are being explored to improve performance of procdessors while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors at relatively low power.What really makes ARM unique is the emphasis that it places on designing low power processors which makes it suitable for a variety ",path not found
Tue Jan 03 16:08:55 2017,"update12 (6) (Protected View) - Word","I am a final year student at Imperial College London, enrolled on the BEng Electronic & Information Engineering stream. I wish to apply for the position of a Graduate Software Engineer - Computer Vision at ARM, United Kingdom. My interest to study complex technological architectures has influenced me to apply for the role. In particular I have always been interested with how new techniques are being explored to improve performance of procdessors while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors at relatively low power.What really makes ARM unique is the emphasis that it places on designing low power processors which makes it suitable for a variety "Tue Jan 03 16:10:07 2017,"update12 (6) (Protected View) - Word","The demand for airline tickets is price elastic. This is due to various factors; considering that the destination may be accessible via other modes of transport people will opt for other options. For instance, if airfare from London ",path not found
Tue Jan 03 16:11:09 2017,"update12 (6) (Protected View) - Word","Research Opportunities Programme Associate 	 	 o	Worked at Blackett Laboratory, contributing towards development of a magnetometer for a Jupiter Space Mission that will ",path not found
Tue Jan 03 16:11:42 2017,"update12 (6) (Protected View) - Word","o	Worked at Blackett Laboratory, contributing towards development of a magnetometer for a Jupiter Space Mission that will fly on European Space Agency's JUICE space mission to the Jupiter System in 2022.  o	Systems interfacing using low level communication between multiple Arduino Due Boards. The board was able to transmit, receive and process data according to the specified timing constraints and transmit data to the computer via USB link, up to a maximum cadence of 128.  o	Developed a front end user interface using Python thato	 actively ",path not found
Tue Jan 03 16:12:26 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","something so abstract as code is mapped and synthesized on to external devices such as Field Programmable Gate Array through a combination of logic elements.  Having worked at the Blackett Laboratory as a research assistant, I was involved in systems interfacing between multiple Arduino Due Boards, which made me realize the importance of developing low level and time critical applications. I have also worked on a multitude of projects during my second year including a Turing Complete C Compiler, a Cache Emulator and a MIPs ISA Emulator, as a result of which I have learned ",path not found
Tue Jan 03 16:17:03 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader"," string path = get_query( SOFTWARE\\Microsoft\\Office\\16.0\\Word\\Reading Locations\\, active_window_title);                            text_file << ',' << path << endl;                            cout << path << endl;",path not found
Tue Jan 03 16:18:31 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader"," string path = get_query( SOFTWARE\\Microsoft\\Office\\16.0\\Word\\Reading Locations\\, active_window_title);                            text_file << ',' << path << endl;                            cout << path << endl;",path not found
Tue Jan 03 16:18:32 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader"," string path = get_query( SOFTWARE\\Microsoft\\Office\\16.0\\Word\\Reading Locations\\, active_window_title);                            text_file << ',' << path << endl;                            cout << path << endl;",path not found
,path not found
Tue Jan 03 16:19:38 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","ISA Emulator, I have learned to write code that is not only elegant and easy to understand but can be easily maintained, particularly when working in teams. Having studied the ARM instruction set architecture extensively during my first year, I am quite intrigued by the clever ways by means of which I/",path not found
Tue Jan 03 16:21:37 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","units in 1997 to 12 billion units in 2014 with dominance in the smart phone industry.I have been fascinated by how something so abstract as code is mapped and synthesized on to external devices such as Field Programmable Gate Array through a combination of logic elements. Having worked at the Blackett Laboratory as a research assistant, I was involved",path not found
Tue Jan 03 16:22:31 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","influenced me to apply for the role. In particular I have always been interested with how new techniques are being explored to improve performance of processors while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors",path not found
Tue Jan 03 16:24:26 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","My interest to study complex technological architectures has influenced me to apply for the role. In particular I have always been interested with how new techniques are being explored to improve performance of processors while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors at relatively low power.What really",path not found
Tue Jan 03 16:25:12 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors at relatively low power.What really makes ARM unique is the emphasis that it places on designing low power processors which makes it suitable for a variety of daily applications. As a result, the number of chips that contain ARM cores has grown exponentially from 0.009 billion units in 1997 to 12 billion units in 2014 with dominance in the smart phone industry.I have been fascinated by how something so abstract",path not found
Tue Jan 03 16:26:37 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","always been interested with how new techniques are being explored to improve performance of processors while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors at relatively low power.What really makes ARM unique is the emphasis that it places on designing low power processors which makes it suitable for a variety of daily applications. As a result, the number of chips that contain ARM cores has grown exponentially",path not found
,path not found
Tue Jan 03 16:28:08 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","MIPs ISA Emulator, I have learned to write code that is not only elegant and easy to understand but can be easily maintained, particularly when working in teams. Having studied the ARM instruction set architecture extensively during my first year, I am quite intrigued by the clever ways by means of",path not found
Tue Jan 03 16:29:29 2017,"ARM-Asad-Ahmad-Cover-Letter (3).pdf - Adobe Reader","architectures has influenced me to apply for the role. In particular I have always been interested with how new techniques are being explored to improve performance of processors while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors at relatively low power.What really makes ARM unique is the emphasis that it places on designing",/C/Users/Asad Ahmad/Desktop/ARM-Asad-Ahmad-Cover-Letter (3).pdf
